,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2017-08-23,65.07,65.449997,63.970001,64.169998,2528458,56.6381
2017-08-24,64.559998,64.839996,64.269997,64.389999,1801447,56.832279
2017-08-25,64.660004,64.980003,64.220001,64.220001,1569124,56.682236
2017-08-28,63.860001,64.5,63.860001,63.950001,1160759,56.443928
2017-08-29,63.369999,63.509998,62.919998,63.23,3260166,55.808434
2017-08-30,63.75,63.759998,62.959999,63.16,1742352,55.746651
2017-08-31,63.830002,64.300003,63.790001,63.91,3212976,56.408619
2017-09-01,64.480003,64.650002,63.84,64.349998,2106272,56.796974
2017-09-04,63.810001,64.139999,63.720001,63.880001,1499093,56.382141
2017-09-05,64.089996,64.230003,62.529999,62.68,2715400,55.32299
2017-09-06,62.41,62.860001,62.209999,62.59,2212165,55.243553
2017-09-07,62.950001,63.599998,62.130001,62.52,3158751,55.18177
2017-09-08,62.200001,63.470001,62.119999,62.990002,2872797,55.596607
2017-09-11,63.580002,64.300003,63.529999,64.300003,2647173,56.752846
2017-09-12,64.699997,66.379997,64.559998,65.839996,3882152,58.112087
2017-09-13,65.949997,66.639999,65.739998,66.400002,3216036,58.606361
2017-09-14,66.160004,66.980003,65.980003,66.540001,2823918,58.729927
2017-09-15,66.190002,66.559998,65.580002,65.989998,9212604,58.24448
2017-09-18,66.279999,66.510002,65.959999,66.209999,2539642,58.438656
2017-09-19,66.410004,66.540001,65.809998,66.169998,2032434,58.403351
2017-09-20,66.029999,66.459999,65.389999,66.050003,2403506,58.29744
2017-09-21,66.610001,67.480003,66.489998,66.720001,2850831,58.888798
2017-09-22,66.5,67.489998,66.480003,67.300003,2750855,59.400723
2017-09-25,67.099998,67.410004,66.169998,66.330002,3021049,58.544575
2017-09-26,66.089996,66.660004,65.870003,66.150002,2436479,58.385704
2017-09-27,66.379997,67.860001,66.349998,67.449997,3554729,59.533112
2017-09-28,67.709999,68.489998,67.260002,67.669998,2878645,59.727291
2017-09-29,67.660004,68.25,67.339996,68.25,3748603,60.239216
2017-10-02,68,68.480003,67.849998,68.449997,2402142,60.415737
2017-10-03,68.5,68.949997,68.5,68.510002,1715100,60.468704
2017-10-04,68.459999,68.550003,67.089996,67.300003,4543128,59.400723
2017-10-05,67.080002,68.610001,67.040001,68.529999,3347256,60.486351
2017-10-06,68.699997,68.769997,68.029999,68.400002,2521789,60.371613
2017-10-09,68.639999,68.910004,67.660004,67.959999,1835823,59.983253
2017-10-10,67.660004,67.800003,66.970001,67.400002,2765685,59.488987
2017-10-11,67.870003,67.870003,66.699997,67.370003,2661486,59.462509
2017-10-12,67.260002,67.279999,66.32,66.610001,2485318,58.791714
2017-10-13,66.489998,66.870003,65.839996,66.050003,3038441,58.29744
2017-10-16,66.18,66.519997,65.709999,66.199997,2369737,58.429829
2017-10-17,66.139999,66.720001,65.620003,66.279999,2448395,58.500443
2017-10-18,66.5,67.739998,66.400002,67.43,2586384,59.515465
2017-10-19,67.389999,67.879997,66.839996,67.32,3255834,59.418373
2017-10-20,67.900002,68.540001,67.860001,68.050003,3458345,60.062695
2017-10-23,68.309998,68.370003,67.510002,67.900002,2427824,59.930298
2017-10-24,67.739998,68.470001,67.620003,68.080002,2866759,60.089172
2017-10-25,67.870003,68.339996,67.220001,67.480003,2658879,59.559597
2017-10-26,67.110001,68.540001,67.080002,68.32,3295142,60.300999
2017-10-27,68.709999,68.980003,68.110001,68.5,3572264,60.459873
2017-10-30,68.5,69.169998,68.410004,68.879997,2489783,60.795269
2017-10-31,66.610001,67.110001,66.419998,67.040001,5094889,59.171238
2017-11-01,67.239998,67.25,65.949997,65.949997,4670306,58.209171
2017-11-02,66.120003,66.25,65.449997,66.18,3432846,58.412182
2017-11-03,66.18,66.309998,65.379997,65.760002,2585930,58.041481
2017-11-06,65.400002,65.419998,64.470001,64.959999,3781159,57.335377
2017-11-07,65.25,65.480003,64.730003,64.75,3096061,57.150024
2017-11-08,65.099998,65.099998,64.139999,64.82,3819113,57.211807
2017-11-09,64.760002,65.419998,64.519997,64.620003,4518915,57.035286
2017-11-10,64.470001,65.209999,64.349998,64.760002,3107049,57.158855
2017-11-13,64.660004,64.699997,63.240002,64.230003,3327167,56.691063
2017-11-14,64.169998,64.209999,63.16,63.450001,3370208,56.002613
2017-11-15,63.150002,64.059998,62.59,63.830002,3674881,56.338013
2017-11-16,64.050003,64.360001,63.66,63.790001,2387739,56.302704
2017-11-17,63.720001,64.290001,62.75,63.150002,3534358,55.737823
2017-11-20,63,63.259998,62.619999,62.849998,2587989,55.473034
2017-11-21,62.700001,63.689999,62.580002,62.779999,3200721,55.411251
2017-11-22,62.919998,63.790001,62.810001,62.950001,2703128,55.561302
2017-11-23,62.759998,63.279999,62.529999,62.970001,1681384,55.578953
2017-11-24,62.849998,64.339996,62.830002,63.639999,3026855,56.170311
2017-11-27,63.549999,64.18,63.009998,63.16,2567587,55.746651
2017-11-28,63.290001,63.740002,63.290001,63.439999,2443612,55.993786
2017-11-29,64.239998,64.940002,64.07,64.290001,3547803,56.744019
2017-11-30,64.519997,64.860001,63.580002,63.580002,4217952,56.117355
2017-12-01,63.599998,63.869999,62.639999,62.849998,3486007,55.473034
2017-12-04,63.970001,64.419998,63.689999,64.059998,4052735,56.541012
2017-12-05,63.939999,64.540001,63.16,63.509998,3370784,56.055569
2017-12-06,62.919998,63.25,62.599998,62.860001,3185604,55.481865
2017-12-07,63.099998,63.27,62.700001,63.139999,3519975,55.728996
2017-12-08,64.389999,65.889999,64.160004,65.040001,6311453,57.405987
2017-12-11,65.300003,65.32,64.410004,64.459999,2914325,56.894066
2017-12-12,64.699997,65,63.779999,64.830002,4065927,57.220638
2017-12-13,64.459999,65.120003,64.160004,64.360001,3869883,56.805801
2017-12-14,64.32,64.879997,63.490002,63.490002,4097988,56.037918
2017-12-15,63.490002,63.540001,62.580002,62.919998,6688658,55.534817
2017-12-18,63.52,63.779999,63.110001,63.360001,3372091,55.923176
2017-12-19,63.25,63.810001,63.040001,63.060001,2719997,55.65839
2017-12-20,63.099998,63.099998,62.310001,62.830002,2937811,55.455387
2017-12-21,62.650002,63.610001,62.32,63.290001,3146282,55.861393
2017-12-22,62.810001,63.380001,62.669998,62.950001,1845311,55.561302
2017-12-27,62.889999,63.290001,62.630001,62.720001,1709801,55.358295
2017-12-28,62.599998,63.060001,62.52,62.599998,2109424,55.25238
2017-12-29,62.720001,62.889999,62.029999,62.25,2428173,54.943459
2018-01-02,62.68,62.700001,61.66,62.09,2785984,54.802242
2018-01-03,62.32,63.27,61.98,62.639999,3766640,55.287682
2018-01-04,62.709999,64.290001,62.709999,63.77,4272372,56.285053
2018-01-05,64.139999,64.589996,63.669998,63.889999,3125691,56.390965
2018-01-08,64.290001,64.839996,64.010002,64.5,3030090,56.929371
2018-01-09,64.730003,65.470001,64.610001,65.43,3474952,57.75021
2018-01-10,65.5,66.800003,65.190002,66.43,4849727,58.632835
2018-01-11,66.589996,67.660004,66.110001,67,4473175,59.135937
2018-01-12,67.459999,67.580002,66.900002,67.459999,4306247,59.541939
2018-01-15,67.309998,67.739998,66.919998,67.529999,2109344,59.603725
2018-01-16,67.349998,67.639999,66.660004,67.010002,2951424,59.144764
2018-01-17,66.419998,66.889999,65.830002,66.379997,3613661,58.588703
2018-01-18,66.5,66.699997,65.989998,66.629997,2973050,58.809361
2018-01-19,66.760002,67.120003,66.32,66.949997,2999504,59.091797
2018-01-22,66.919998,67.989998,66.529999,67.550003,3439278,59.62138
2018-01-23,67.839996,67.919998,67.040001,67.580002,3184441,59.647858
2018-01-24,67.540001,67.849998,67.18,67.18,2726702,59.294807
2018-01-25,67.150002,68,66.809998,68,4060630,60.018562
2018-01-26,67.949997,68.419998,67.779999,68.279999,3011551,60.265694
