res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 24000, fitness evaluations: 1199950, best fitness: 0.000418, time elapsed: 3 minutes, 9.15 seconds
evolution step 24100, fitness evaluations: 1204950, best fitness: 0.000418, time elapsed: 3 minutes, 9.84 seconds
evolution step 24200, fitness evaluations: 1209950, best fitness: 0.000418, time elapsed: 3 minutes, 10.56 seconds
evolution step 24300, fitness evaluations: 1214950, best fitness: 0.000418, time elapsed: 3 minutes, 11.29 seconds
evolution step 24400, fitness evaluations: 1219950, best fitness: 0.000418, time elapsed: 3 minutes, 12 seconds
evolution step 24500, fitness evaluations: 1224950, best fitness: 0.000418, time elapsed: 3 minutes, 12.73 seconds
evolution step 24600, fitness evaluations: 1229950, best fitness: 0.000418, time elapsed: 3 minutes, 13.48 seconds
evolution step 24700, fitness evaluations: 1234950, best fitness: 0.000418, time elapsed: 3 minutes, 14.2 seconds
evolution step 24800, fitness evaluations: 1239950, best fitness: 0.000418, time elapsed: 3 minutes, 15.03 seconds
evolution step 24900, fitness evaluations: 1244950, best fitness: 0.000418, time elapsed: 3 minutes, 15.79 seconds
evolution step 25000, fitness evaluations: 1249950, best fitness: 0.000418, time elapsed: 3 minutes, 16.51 seconds
evolution step 25100, fitness evaluations: 1254950, best fitness: 0.000418, time elapsed: 3 minutes, 17.22 seconds
evolution step 25200, fitness evaluations: 1259950, best fitness: 0.000418, time elapsed: 3 minutes, 17.93 seconds
evolution step 25300, fitness evaluations: 1264950, best fitness: 0.000418, time elapsed: 3 minutes, 18.64 seconds
evolution step 25400, fitness evaluations: 1269950, best fitness: 0.000418, time elapsed: 3 minutes, 19.37 seconds
evolution step 25500, fitness evaluations: 1274950, best fitness: 0.000418, time elapsed: 3 minutes, 20.12 seconds
evolution step 25600, fitness evaluations: 1279950, best fitness: 0.000418, time elapsed: 3 minutes, 20.84 seconds
evolution step 25700, fitness evaluations: 1284950, best fitness: 0.000418, time elapsed: 3 minutes, 21.61 seconds
evolution step 25800, fitness evaluations: 1289950, best fitness: 0.000418, time elapsed: 3 minutes, 22.39 seconds
evolution step 25900, fitness evaluations: 1294950, best fitness: 0.000418, time elapsed: 3 minutes, 23.04 seconds
